rocket,payloads,launchpad,cores,flight_number,date_utc,date,BoosterVersion,FlightNumber
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a6f35918513b3b265b', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",73,2018-12-23T13:51:00.000Z,23-12-2018,Falcon 9,61
5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,"{'core': '5e9e28a5f3591833b13b2659', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",74,2019-01-11T15:31:00.000Z,11-01-2019,Falcon 9,62
5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,"{'core': '5e9e28a6f35918c0803b265c', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",76,2019-03-02T07:45:00.000Z,02-03-2019,Falcon 9,63
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a7f3591809313b2660', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",78,2019-05-04T06:48:00.000Z,04-05-2019,Falcon 9,64
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f3591833b13b2659', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",79,2019-05-24T02:30:00.000Z,24-05-2019,Falcon 9,65
5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,"{'core': '5e9e28a6f35918c0803b265c', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb554034e7c9'}",80,2019-06-12T14:17:00.000Z,12-06-2019,Falcon 9,66
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a7f3591809313b2660', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",82,2019-07-25T22:01:00.000Z,25-07-2019,Falcon 9,67
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f359181eed3b2657', 'flight': 3, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",83,2019-08-06T22:52:00.000Z,06-08-2019,Falcon 9,68
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f3591809c03b2658', 'flight': 4, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",84,2019-11-11T14:56:00.000Z,11-11-2019,Falcon 9,69
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a7f359187afd3b2662', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",85,2019-12-05T17:29:23.000Z,05-12-2019,Falcon 9,70
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a7f3591809313b2660', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",86,2019-12-17T00:10:00.000Z,17-12-2019,Falcon 9,71
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f3591833b13b2659', 'flight': 4, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",87,2020-01-07T02:19:00.000Z,07-01-2020,Falcon 9,72
5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,"{'core': '5e9e28a5f359182b023b2656', 'flight': 4, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",88,2020-01-19T14:00:00.000Z,19-01-2020,Falcon 9,73
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a6f35918c0803b265c', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",89,2020-01-29T14:06:00.000Z,29-01-2020,Falcon 9,74
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a7f3591809313b2660', 'flight': 4, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",90,2020-02-17T15:05:55.000Z,17-02-2020,Falcon 9,75
5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,"{'core': '5e9e28a7f359187afd3b2662', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",91,2020-03-07T04:50:31.000Z,07-03-2020,Falcon 9,76
